========================================================================================================================================================================================================
1年级8个单元完整文章汇总（详细版）
========================================================================================================================================================================================================

单元       | 周      | 天      | 主题                        | 文章1[体裁]                             | 文章2[体裁]                             | 文章3[体裁]                             | 文章4[体裁]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元 | 第1周 | 第1天 | 天地之间真奇妙                   | 天地人[课本复习]                           | 三字经（选段）[国学经典]                       | 生字开花                                |                                    
第1单元 | 第1周 | 第2天 | 五行朋友真有趣                   | 小兔子运萝卜[故事传说]                        | 绕口令：小猪和老虎[绕口令]                      | 学说一句话：谁干什么                          |                                    
第1单元 | 第1周 | 第3天 | 大自然里找颜色                   | 小彩笔[童谣童诗]                           | 画[古诗词]                              | 词语小宝库                               |                                    
第1单元 | 第1周 | 第4天 | 五行本领大                     | 金木水火土[课本复习]                         | 谜语：猜猜我是谁[趣味谜语]                      | 好习惯小明星                              |                                    
第1单元 | 第1周 | 第5天 | 身体的小秘密                    | 小猴子捞月亮[故事传说]                        | 弟子规（选读）[国学经典]                       | 奇思妙想屋                               |                                    
第1单元 | 第1周 | 第6天 | 可爱的小手小脚                   | 小手小脚[童谣童诗]                          | 珍惜时间的小明[故事传说]                       | 生字开花                                |                                    
第1单元 | 第2周 | 第1天 | 看一看，摸一摸                   | 口耳手足[课本复习]                          | 绕口令：扁担长[绕口令]                        | 词语小宝库                               |                                    
第1单元 | 第2周 | 第2天 | 小小身体大用处                   | 小花猫洗脸[故事传说]                         | 咏鹅[古诗词]                             | 好习惯小明星                              |                                    
第1单元 | 第2周 | 第3天 | 日月星空亮晶晶                   | 小星星[童谣童诗]                           | 谜语：猜物体[趣味谜语]                        | 学说一句话：什么时候，谁在哪儿干什么                  |                                    
第1单元 | 第2周 | 第4天 | 高山流水真好看                   | 日月山川[课本复习]                          | 声律启蒙（节选一）[国学经典]                     | 生字开花                                |                                    
第1单元 | 第2周 | 第5天 | 好朋友，手拉手                   | 小羊过桥[故事传说]                          | 绕口令：小溪水[绕口令]                        | 词语小宝库                               |                                    
第1单元 | 第2周 | 第6天 | 爱读书的好宝宝                   | 快乐读书吧[童谣童诗]                         | 静夜思[古诗词]                            | 俗语（小知识）                             |                                    
第2单元 | 第3周 | 第1天 | 单韵母娃娃来了                   | 小嘴巴，圆又圆[课本复习]                       | 三字经（选段）[国学经典]                       | 认读生字                                |                                    
第2单元 | 第3周 | 第2天 | 小猫捉老鼠                     | 小花猫钓鱼[故事传说]                         | 绕口令：小猪[绕口令]                         | 学说一句话：什么像什么                         |                                    
