========================================================================================================================================================================================================
1年级8个单元完整文章汇总（详细版）（有拼音_重写版·下学期）
========================================================================================================================================================================================================

单元        | 周       | 天       | 主题                         | 文章1[体裁]                              | 文章2[体裁]                              | 文章3[体裁]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元   | 第1周  | 第1天  | 四季在身边                      | 四季歌[童谣童诗]                          | 我的四季衣服[现代短文]                       | 四季词
第1单元   | 第1周  | 第2天  | 礼貌小朋友                      | 礼貌歌[童谣童诗]                          | 小明会说谢谢[现代短文]                       | 会说的四句话
第1单元   | 第1周  | 第3天  | 上学路上                       | 早早上学[童谣童诗]                         | 排队不挤[现代短文]                         | 学说一句话：我在……做……
第1单元   | 第1周  | 第4天  | 小手真能干                      | 小手小手[童谣童诗]                         | 整理书包[现代短文]                         | 动作词
第1单元   | 第1周  | 第5天  | 春雨来了                       | 春雨滴答[童谣童诗]                         | 小伞不迷路[现代短文]                        | 颜色词
第1单元   | 第1周  | 第6天  | 爱护眼睛                       | 眼睛亮亮[童谣童诗]                         | 小明爱眼睛[现代短文]                        | 好习惯
第1单元   | 第2周  | 第1天  | 左和右                        | 左手右手[童谣童诗]                         | 找一找左边[现代短文]                        | 方位词
第1单元   | 第2周  | 第2天  | 动物朋友                       | 小动物真可爱[童谣童诗]                       | 小狗找球[现代短文]                         | 学说一句话：谁在干什么
第1单元   | 第2周  | 第3天  | 颜色在身边                      | 彩色世界[童谣童诗]                         | 彩笔画画[现代短文]                         | 颜色词
第1单元   | 第2周  | 第4天  | 安全小卫士                      | 安全儿歌[童谣童诗]                         | 红灯停[现代短文]                          | 安全小提醒
第1单元   | 第2周  | 第5天  | 好朋友手拉手                     | 好朋友[童谣童诗]                          | 借橡皮[现代短文]                          | 会用的句子
第1单元   | 第2周  | 第6天  | 快乐读书                       | 我爱读书[童谣童诗]                         | 小兔子看书[现代短文]                        | 学说一句话：我喜欢……
第2单元   | 第3周  | 第1天  | 我是班级小主人                    | 我是小学生[童谣童诗]                        | 值日小帮手[现代短文]                        | 班级词语
第2单元   | 第3周  | 第2天  | 上课认真听                      | 上课歌[童谣童诗]                          | 会举手的小雨[现代短文]                       | 课堂小约定
第2单元   | 第3周  | 第3天  | 整理小能手                      | 整理歌[童谣童诗]                          | 找到了[现代短文]                          | 动作词
第2单元   | 第3周  | 第4天  | 课间不打闹                      | 课间歌[童谣童诗]                          | 楼梯慢慢走[现代短文]                        | 安全提醒
第2单元   | 第3周  | 第5天  | 爱护学习用品                     | 我的铅笔[童谣童诗]                         | 借铅笔[现代短文]                          | 礼貌用语
第2单元   | 第3周  | 第6天  | 快乐读书                       | 我爱图画书[童谣童诗]                        | 小熊借书[现代短文]                         | 读书词语
第2单元   | 第4周  | 第1天  | 我会照顾自己                     | 起床歌[童谣童诗]                          | 我会穿衣服[现代短文]                        | 自理小事
第2单元   | 第4周  | 第2天  | 学会分享                       | 分享真快乐[童谣童诗]                        | 分享饼干[现代短文]                         | 会说的话
第2单元   | 第4周  | 第3天  | 认真做作业                      | 写字歌[童谣童诗]                          | 不急的小亮[现代短文]                        | 学习好方法
第2单元   | 第4周  | 第4天  | 会问问题                       | 小问号[童谣童诗]                          | 请老师帮忙[现代短文]                        | 礼貌提问
第2单元   | 第4周  | 第5天  | 爱护环境                       | 小小环保员[童谣童诗]                        | 把纸屑送回家[现代短文]                       | 环保词语
