========================================================================================================================================================================================================
2年级8个单元完整文章汇总（详细版）（有拼音_重写版·下学期）
========================================================================================================================================================================================================

单元        | 周       | 天       | 主题                         | 文章1[体裁]                              | 文章2[体裁]                              | 文章3[体裁]                              | 文章4[体裁]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元   | 第1周  | 第1天  | 春天悄悄来了                     | 找春天（节选）[课本复习]                      | 春天的消息[现代短文]                        | 村居[古诗词]                            | 好词积累
第1单元   | 第1周  | 第2天  | 小路开满花                      | 开满鲜花的小路（节选）[课本复习]                  | 狐狸和乌鸦[故事传说]                        | 论语一句[国学经典]                         | 好句积累
第1单元   | 第1周  | 第3天  | 写话日：把句子写具体                 | 春天在校园[现代短文]                        | 写话技巧：因为……所以……                      | 仿说/扩句                              | 好词积累
第1单元   | 第1周  | 第4天  | 一起去植树                      | 邓小平爷爷植树（节选）[课本复习]                  | 小树的心愿[现代短文]                        | 小青蛙找家[故事传说]                        | 仿写：用四个动作写一写你做的一件事
第1单元   | 第1周  | 第5天  | 古诗里的春风                     | 古诗二首[课本复习]                         | 咏柳[古诗词]                            | 四字词语/成语                            | 句子润色（把原句说得更生动）
第1单元   | 第1周  | 第6天  | 春天的儿童故事                    | 春天小童诗[童谣童诗]                        | 小刺猬借雨伞[故事传说]                       | 谚语/歇后语                             | 口语交际：注意说话的语气[课本复习]
第1单元   | 第2周  | 第1天  | 继续去找春天                     | 找春天（再读一段）[课本复习]                    | 春天在校园[现代短文]                        | 村居（巩固）[古诗词]                        | 好词积累
第1单元   | 第2周  | 第2天  | 故事里学表达                     | 开满鲜花的小路（再读一段）[课本复习]                | 小熊借彩笔[故事传说]                        | 小古文[小古文]                           | 好句积累
第1单元   | 第2周  | 第3天  | 写话日：连词让句子更顺                | 植树的一天[现代短文]                        | 写话技巧：先……再……然后……最后……                | 仿说/扩句                              | 好词积累
第1单元   | 第2周  | 第4天  | 比喻让画面更清楚                   | 邓小平爷爷植树（巩固）[课本复习]                  | 小路像地毯[现代短文]                        | 小猴子学说话[故事传说]                       | 仿写：用“像……”写一句比喻句。
第1单元   | 第2周  | 第5天  | 语文园地一：词句整理                 | 语文园地一（词句练习）[课本复习]                  | 咏柳（巩固）[古诗词]                        | 四字词语/成语                            | 句子润色（把原句说得更生动）
第1单元   | 第2周  | 第6天  | 快乐读书吧：读儿童故事                | 春天小童诗[童谣童诗]                        | 会道歉的小狐狸[故事传说]                      | 快乐读书吧（读法小提示）[课本复习]                 | 歇后语/俗语
第2单元   | 第3周  | 第1天  | 雷锋叔叔在身边                    | 雷锋叔叔，你在哪里（节选）[课本复习]                | 早操[现代短文]                           | 春晓[古诗词]                            | 词语小宝库
